area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Discards,Unreported,small scale encircling nets,,5.3169127524
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Industrial,Landings,Reported,unknown class,Direct human consumption,1197.9659247502,1383505.6341031075
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Industrial,Landings,Reported,unknown class,Other,1.1991650898,0.008733165595603217
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,508.9874426295,587818.8853430735
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,138.1757200000,159576.2309817969
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Industrial,Landings,Unreported,unknown class,Direct human consumption,2311.2577003684,2669222.875425857
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Industrial,Landings,Unreported,unknown class,Other,2.3135712716,0.016849057067828986
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Landings,Unreported,small scale seine nets,Other,0.3196026544,0.002327571849203784
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Artisanal,Landings,Unreported,small scale encircling nets,Other,3.0784732429,0.02241961247821134
"Italy (mainland)",eez,1950,"Coryphaena hippurus","Common dolphinfish","Large pelagics (>=90 cm)","Perch-likes","Italy",Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,215.1460741670,248467.6730911914
